,Sequence,label
1122,STVPIE,0
1123,GVIWIA,1
1124,LATVYA,0
1125,NATAHQ,0
1126,STVGIE,0
1127,GLSIFV,1
1128,TFWEIS,0
1129,LPKVED,0
1130,YIFNNC,1
1131,DFNKFH,1
1132,EHSDLS,0
1133,QQQYNP,0
1134,TAVTTG,0
1135,AGSGSG,0
1136,ASSSNY,1
1137,DKKEEE,0
1138,ERIEKV,0
1139,LNTVYV,1
1140,CQIVYK,1
1141,VQIVYT,1
1142,PMINLY,0
1143,GNHGGG,0
1144,NIQYQF,0
1145,SWGMMG,0
1146,TVIVIR,0
1147,VQIVVK,1
1148,NNNRGG,0
1149,AEMEYL,0
1150,RMFNII,0
1151,YNNTGS,0
1152,LSGDHC,0
1153,DLTITQ,0
1154,HWQNFA,0
1155,GYFLNM,1
1156,VEIVYK,1
1157,LQTVYV,1
1158,VQIVYI,1
1159,TGVVVV,0
1160,HQIVYK,0
1161,STTIIE,0
1162,EYLKIA,0
1163,NYKNFN,0
1164,TTGVVV,0
1165,TRNNTV,0
1166,LAVVYV,1
1167,VQIVYC,1
1168,SEVIIE,1
1169,LATVYP,0
1170,LATVYY,1
1171,VIIVYK,1
1172,QQYNPD,0
1173,AAELRN,0
1174,SHLVEA,0
1175,GGFNKF,0
1176,QQGGYQ,0
1177,LLNKTN,0
1178,QLFLQI,1
1179,GQNNTQ,0
1180,NRYQGY,0
1181,KTKEQV,1
1182,YLLYYT,1
1183,DSVISL,1
1184,NVTQVG,0
1185,STVIQE,0
1186,STVEIE,1
1187,AENGKS,0
1188,LATVQV,1
1189,SNVIIE,1
1190,FVNQHL,0
1191,KPKKTL,0
1192,GGYMLG,1
1193,STVMIE,0
1194,VQIVMK,1
1195,YTNISN,0
1196,DADLYL,0
1197,STLIIE,1
1198,KDWSFY,1
1199,SKVIIE,0
1200,WQIVYK,1
1201,VQIDYK,1
1202,YQAYNA,0
1203,YSGSNS,0
1204,GVPGIA,0
1205,WIVIFF,1
1206,STVDIE,0
1207,GTFSIN,0
1208,VGFGNN,0
1209,GSIAAT,1
1210,NPAMMA,0
1211,NGADVG,0
1212,VQTEEK,0
1213,STVIWE,0
1214,ETVIVI,0
1215,VQIVYD,1
1216,GNNQQN,0
1217,MYWIIF,0
1218,LVEALY,1
1219,NYNNNL,0
1220,GNCFIL,1
1221,AAIIGQ,1
1222,ATVSFD,0
1223,MLASQQ,0
1224,GADVGQ,0
1225,STFIFE,1
1226,NQQNYQ,0
1227,GLFINM,1
1228,TLKNYI,0
1229,HPAENG,0
1230,EEEKSA,0
1231,MATVYV,1
1232,FQPQSQ,0
1233,NPQGGR,0
1234,QQGNNR,0
1235,QKQAAP,0
1236,TTVVST,0
1237,MGNNTV,0
1238,AGGYYQ,0
1239,NPDAGY,0
1240,AGVNYF,1
1241,QQNTSF,0
1242,GYMLGS,1
1243,SQVIIE,1
1244,QPKIVK,0
1245,AILSST,1
1246,VTIITV,0
1247,IGNNSI,0
1248,STAIIE,0
1249,ASNAGS,0
1250,GVNNNN,0
1251,QQNQSC,0
1252,LVTVYV,1
1253,IVIRTP,0
1254,GGRGNY,0
1255,STVIID,1
1256,KKTLKL,0
1257,QTNLYG,0
1258,GGGNHG,0
1259,YLNWYQ,1
1260,NSNINQ,0
1261,QATVYV,1
1262,LATVYG,0
1263,PTKVEE,0
1264,LFTVYV,1
1265,ESDKKE,0
1266,QFFLQF,1
1267,QQNQYN,0
1268,HTFNLL,1
1269,FNYNNN,0
1270,VIFTIM,1
1271,QQKQAA,0
1272,DCVNIT,1
1273,WSFYLL,0
1274,HGWLIM,1
1275,VVTSEE,0
1276,LSQPKI,0
1277,VQIVYS,1
1278,TVFPIG,0
1279,VQIVPK,1
1280,EKNLYL,0
1281,PKIQVY,0
1282,QNYQGY,0
1283,LYQLEN,1
1284,NHGGGG,0
1285,VQIVYV,1
1286,WNFGTQ,0
1287,KVDTKP,0
1288,STNNTN,0
1289,EPTREP,0
1290,LTTVYV,1
1291,TAVHCF,0
1292,EVTTGV,0
1293,LATKYV,0
